acacia,brownish orange,orange,#b55c3b,181,92,59
acai berry,very deep purple,purple,#42314b,66,49,75
acid green,strong greenish yellow,yellow,#b0bf1a,171,191,26
alabaster,white,white,#f8f3ed,248,243,237
alice blue,white,white,#f0f8ff,240,248,255
aloe vera,strong yellow-green,yellow-green,#7da63f,125,166,63
amaranth,strong red,red,#e52b50,229,43,80
amber,vivid yellow,yellow,#ffbf00,255,191,0
amethyst,vivid violet,violet,#9966cc,153,102,204
antique brass,light yellowish brown,brown,#cd9575,205,149,117
antique bronze,moderate olive,olive,#665d1e,102,93,30
antique linen,yellowish white,white,#faeedb,250,238,219
apricot,light orange,orange,#ffb16d,255,177,109
aquamarine,very light bluish green,green,#7fffd4,127,255,212
arctic blue,very pale green,green,#c6e6fb,198,230,251
arsenic,dark grayish blue,blue,#3b444b,59,68,75
ash,pinkish gray,gray,#c6c3b5,198,195,181
asphalt,deep olive green,green,#130a06,19,10,6
auburn,deep reddish orange,orange,#a52a2a,165,42,42
avocado,deep yellow-green,yellow-green,#568203,86,130,3
azalea,vivid purplish red,red,#d42e5b,212,46,91
azure,vivid blue,blue,#007fff,0,127,255
baby blue,very light blue,blue,#89cff0,137,207,240
baby pink,light yellowish pink,pink,#f4c2c2,244,194,194
baked clay,dark reddish orange,orange,#9c5642,156,86,66
banana,brilliant greenish yellow,yellow,#ffe135,255,225,53
barley,grayish yellow,yellow,#d5b37e,213,179,126
barn red,deep reddish brown,brown,#7c0a02,124,10,2
basalt,grayish green,green,#647a7b,100,122,123
beach glass,very light bluish green,green,#96dfce,150,223,206
beige,yellowish white,white,#f5f5dc,245,245,220
berry,deep purplish red,red,#990f4b,153,15,75
black,very deep yellowish green,green,#000000,0,0,0
black currant,very deep purplish red,red,#540E32,84,14,50
blackberry,very dark red,red,#43182f,67,24,47
blue bell,light purple,purple,#a2a2d0,162,162,208
blueberry,deep purplish blue,blue,#243b64,36,59,100
bone,very pale purple,purple,#d7d2cb,215,210,203
brass,dark yellow,yellow,#b5a642,181,166,66
brick,strong red,red,#cb4154,203,65,84
bronze,dark orange yellow,yellow,#cd7f32,205,127,50
burgundy,deep red,red,#800020,128,0,32
burnt sienna,moderate reddish orange,orange,#e97451,233,116,81
burnt umber,strong reddish brown,brown,#8a3324,138,51,36
butter,brilliant greenish yellow,yellow,#fee227,254,226,39
cabbage,moderate yellow-green,yellow-green,#97a75d,151,167,93
cabernet,deep reddish brown,brown,#540212,84,2,18
camel,light yellowish brown,brown,#c19a6b,193,154,107
canary,pale greenish yellow,yellow,#ffff99,255,255,153
candy apple red,vivid red,red,#ff0800,255,8,0
caramel,deep orange,orange,#af6f09,175,111,9
carmine,vivid red,red,#ff0040,255,0,64
carnation,deep pink,pink,#f95a61,249,90,97
carnation pink,vivid pink,pink,#ffa6c9,255,166,201
carnelian,deep reddish orange,orange,#b31b1b,179,27,27
carrot,strong orange yellow,yellow,#ed9121,237,145,33
cedar,dark grayish reddish brown,brown,#463430,70,52,48
celadon,very light yellowish green,green,#ace1af,172,225,175
celery,moderate greenish yellow,yellow,#b4c04c,180,192,76
cerise,vivid purplish red,red,#de3163,222,49,99
cerulean,strong purplish blue,blue,#2a52be,42,82,190
champagne,yellowish white,white,#f7e7ce,247,231,206
chardonnay,pale yellow,yellow,#efe8bc,239,232,188
cherry blossom,vivid pink,pink,#ffb7c5,255,183,197
cinnabar,vivid reddish orange,orange,#e34234,227,66,52
cinnamon,deep yellowish pink,pink,#d2691e,210,105,30
clay,moderate reddish orange,orange,#b66a50,182,106,80
cobalt,strong blue,blue,#0047ab,0,71,171
cocoa,deep yellowish pink,pink,#d2691e,210,105,30
colonial white,pale yellow,yellow,#ffedbc,255,237,188
copper,brownish orange,orange,#b87333,184,115,51
coral,brilliant orange,orange,#ff7f50,255,127,80
coriander,pinkish gray,gray,#c4d0b0,196,208,176
corn,brilliant yellow,yellow,#fbec5d,251,236,93
cornflower,brilliant blue,blue,#6495ed,100,149,237
cotton candy,brilliant purplish pink,pink,#ffbcd9,255,188,217
country blue,bluish gray,gray,#717f9b,113,127,155
cranberry,vivid red,red,#ee0000,238,0,0
cream,yellowish white,white,#fffdd0,255,253,208
crimson,vivid red,red,#dc143c,220,20,60
crow,bluish black,black,#111f28,17,31,40
cumin,light brown,brown,#a58459,165,132,89
dandelion,brilliant greenish yellow,yellow,#f0e130,240,225,48
deluge,strong blue,blue,#0077aa,0,119,170
denim,strong blue,blue,#1560bd,21,96,189
desert,light yellowish brown,brown,#c19a6b,193,154,107
dove,white,white,#f8f8f8,248,248,248
dry moss,moderate yellow-green,yellow-green,#769958,118,153,88
dusky rose,deep red,red,#8f1e20,143,30,32
dusty lavender,light reddish purple,purple,#ac86a8,172,134,168
earth,brownish orange,orange,#a2653e,162,101,62
ebony,dark gray,gray,#555d50,85,93,80
egg yolk,brilliant greenish yellow,yellow,#fee33e,254,227,62
eggplant,very dark reddish purple,purple,#311432,49,20,50
elderberry,very dark red,red,#411624,65,22,36
elephant,light grayish yellowish brown,brown,#afa395,175,163,149
elm,moderate bluish green,green,#1c7c7d,28,124,125
emerald,brilliant green,green,#50c878,80,200,120
english holly,very deep yellowish green,green,#022d15,2,45,21
english walnut,dark olive brown,brown,#3e2b23,62,43,35
espresso,brownish black,black,#251613,37,22,19
eucalyptus,moderate green,green,#329760,50,151,96
evergreen,deep bluish green,green,#05472a,5,71,42
fawn,moderate orange yellow,yellow,#e5aa70,229,170,112
fern green,grayish olive green,green,#4f7942,79,121,66
fir,deep olive green,green,#28320f,40,50,15
fisherman,light purplish gray,gray,#d1c9be,209,201,190
flame,vivid reddish orange,orange,#e25822,226,88,34
flamingo,strong purplish pink,pink,#fc8eac,252,142,172
flax,light yellow,yellow,#eedc82,238,220,130
flint,bluish gray,gray,#7e7d9c,126,125,156
foam,greenish white,white,#d0eae8,208,234,232
forest,deep yellow-green,yellow-green,#228b22,34,139,34
forget-me-not,vivid greenish blue,blue,#0087bd,0,135,189
frost,greenish white,white,#cfe5f0,207,229,240
garnet,deep reddish brown,brown,#6c000f,108,0,15
ginger,deep orange,orange,#b06500,176,101,0
gold,vivid yellow,yellow,#ffd700,255,215,0
goldenrod,strong orange yellow,yellow,#daa520,218,165,32
granny smith apple,light yellowish green,green,#9de093,157,224,147
grass,strong yellow-green,yellow-green,#5cac2d,92,172,45
green apple,vivid yellow-green,yellow-green,#8db600,141,182,0
harvest gold,deep orange yellow,yellow,#da9100,218,145,0
hazelnut,dark orange yellow,yellow,#d4893b,212,137,59
heather,light violet,violet,#9e7db4,158,125,180
heron,grayish purplish blue,blue,#4c596a,76,89,106
hickory,light brown,brown,#9e714c,158,113,76
honey,vivid orange yellow,yellow,#ffaa00,255,170,0
hot pink,deep purplish pink,pink,#ff69b4,255,105,180
ice blue,very pale blue,blue,#b4ddf9,180,221,249
iced mocha,light reddish brown,brown,#a3846c,163,132,108
indigo,vivid purplish blue,blue,#4b0082,75,0,130
ironwood,light grayish yellowish brown,brown,#a19583,161,149,131
ivy,deep yellow-green,yellow-green,#1d711b,29,113,27
jade,brilliant bluish green,green,#00a86b,0,168,107
jam,very deep red,red,#67032F,103,3,47
jet,dark grayish olive green,green,#343434,52,52,52
khaki,brownish pink,pink,#c3b091,195,176,145
kiwi,moderate yellow-green,yellow-green,#7aab55,122,171,85
lapis lazuli,moderate blue,blue,#26619c,38,97,156
latte,grayish yellow,yellow,#c5a582,197,165,130
lavender,bluish white,white,#c191e5,230,230,250
lavender blush,white,white,#FFF0F5,255,240,245
lead,grayish green,green,#6e7273,110,114,115
lemon,vivid yellow,yellow,#fff700,255,247,0
lemon lime,strong greenish yellow,yellow,#bffe28,191,254,40
lilac,grayish purplish pink,pink,#c8a2c8,200,162,200
lime,vivid greenish yellow,yellow,#bfff00,191,255,0
limestone,pale yellow,yellow,#eee1ae,238,225,174
lion,light yellowish brown,brown,#c19a6b,193,154,107
liver,deep brown,brown,#6c2e1f,108,46,31
mahogany,deep reddish orange,orange,#c04000,192,64,0
mango,strong orange yellow,yellow,#f1a037,241,160,55
mauve,very light violet,violet,#e0b0ff,224,176,255
midnight,very dark greenish blue,blue,#011635,1,22,53
midnight blue,vivid purplish blue,blue,#191970,25,25,112
midnight green,dark greenish blue,blue,#004953,0,73,83
mint,light yellowish green,green,#98fb98,152,251,152
mist,light bluish gray,gray,#b4c1c9,180,193,201
moonstone,brilliant greenish blue,blue,#3aa8c1,58,168,193
